DATE,MEDDAYONMARNJ
2016-07-01,71.0
2016-08-01,76.0
2016-09-01,79.0
2016-10-01,79.0
2016-11-01,80.0
2016-12-01,87.0
2017-01-01,88.0
2017-02-01,77.0
2017-03-01,58.0
2017-04-01,55.0
2017-05-01,55.0
2017-06-01,58.0
2017-07-01,64.0
2017-08-01,68.0
2017-09-01,68.0
2017-10-01,68.0
2017-11-01,70.0
2017-12-01,78.0
2018-01-01,82.0
2018-02-01,71.0
2018-03-01,53.0
2018-04-01,51.0
2018-05-01,49.0
2018-06-01,51.0
2018-07-01,59.0
2018-08-01,62.0
2018-09-01,65.0
2018-10-01,65.0
2018-11-01,66.0
2018-12-01,75.0
2019-01-01,80.0
2019-02-01,70.0
2019-03-01,56.0
2019-04-01,49.0
2019-05-01,48.0
2019-06-01,54.0
2019-07-01,61.0
2019-08-01,63.0
2019-09-01,63.0
2019-10-01,64.0
2019-11-01,66.0
2019-12-01,79.0
2020-01-01,82.0
2020-02-01,64.0
2020-03-01,47.0
2020-04-01,62.0
2020-05-01,74.0
2020-06-01,55.0
2020-07-01,41.0
2020-08-01,39.0
2020-09-01,38.0
2020-10-01,38.0
2020-11-01,48.0
2020-12-01,59.0
2021-01-01,65.0
2021-02-01,47.0
2021-03-01,33.0
2021-04-01,29.0
2021-05-01,28.0
2021-06-01,29.0
2021-07-01,33.0
2021-08-01,38.0
2021-09-01,44.0
2021-10-01,45.0
2021-11-01,47.0
2021-12-01,56.0
2022-01-01,60.0
2022-02-01,36.0
2022-03-01,28.0
2022-04-01,26.0
2022-05-01,26.0
2022-06-01,30.0
2022-07-01,33.0
2022-08-01,41.0
2022-09-01,47.0
2022-10-01,46.0
2022-11-01,51.0
2022-12-01,60.0
2023-01-01,66.0
2023-02-01,49.0
2023-03-01,40.0
2023-04-01,36.0
2023-05-01,33.0
2023-06-01,33.0
2023-07-01,36.0
2023-08-01,38.0
2023-09-01,39.0
2023-10-01,39.0
2023-11-01,43.0
2023-12-01,52.0
2024-01-01,56.0
2024-02-01,39.0
2024-03-01,36.0
2024-04-01,33.0
2024-05-01,28.0
2024-06-01,30.0
2024-07-01,37.0
2024-08-01,38.0
2024-09-01,40.0
2024-10-01,40.0
