DATE,MEDLISPRIMM34017
2017-07-01,-2.16
2017-08-01,-0.01
2017-09-01,1.23
2017-10-01,4.4
2017-11-01,-2.11
2017-12-01,3.01
2018-01-01,-3.87
2018-02-01,3.59
2018-03-01,4.61
2018-04-01,0.1
2018-05-01,6.11
2018-06-01,-0.94
2018-07-01,1.43
2018-08-01,-0.94
2018-09-01,5.97
2018-10-01,-0.51
2018-11-01,-2.09
2018-12-01,-2.68
2019-01-01,-3.85
2019-02-01,3.04
2019-03-01,1.96
2019-04-01,2.56
2019-05-01,-1.19
2019-06-01,0.47
2019-07-01,-2.94
2019-08-01,-1.55
2019-09-01,0.23
2019-10-01,0.15
2019-11-01,-4.36
2019-12-01,0.5
2020-01-01,4.08
2020-02-01,-0.67
2020-03-01,3.99
2020-04-01,-0.23
2020-05-01,0.0
2020-06-01,2.97
2020-07-01,3.06
2020-08-01,0.52
2020-09-01,-1.04
2020-10-01,-3.34
2020-11-01,-3.73
2020-12-01,-1.32
2021-01-01,-3.35
2021-02-01,0.5
2021-03-01,-0.25
2021-04-01,-1.33
2021-05-01,0.09
2021-06-01,-0.03
2021-07-01,0.03
2021-08-01,1.25
2021-09-01,2.01
2021-10-01,1.66
2021-11-01,1.32
2021-12-01,-1.12
2022-01-01,1.52
2022-02-01,-2.09
2022-03-01,-2.36
2022-04-01,0.39
2022-05-01,7.32
2022-06-01,3.09
2022-07-01,1.41
2022-08-01,-2.26
2022-09-01,0.78
2022-10-01,4.17
2022-11-01,-2.54
2022-12-01,0.0
2023-01-01,0.7
2023-02-01,3.45
2023-03-01,0.58
2023-04-01,2.48
2023-05-01,5.11
2023-06-01,0.46
2023-07-01,-0.46
2023-08-01,-4.47
2023-09-01,-0.25
2023-10-01,5.1
2023-11-01,0.5
2023-12-01,3.94
2024-01-01,-4.27
2024-02-01,-0.01
2024-03-01,0.01
2024-04-01,1.04
2024-05-01,2.78
2024-06-01,-0.76
2024-07-01,-1.37
2024-08-01,0.11
2024-09-01,0.53
2024-10-01,-2.26
